minute,acc,f1_class0,f1_class1,f1_class2,f1_class3
0,53.92 ± 1.89,41.20 ± 10.33,47.02 ± 8.23,62.06 ± 2.52,57.45 ± 1.48
10,64.46 ± 1.38,70.34 ± 4.20,58.12 ± 2.86,67.48 ± 5.39,61.09 ± 3.32
20,64.19 ± 1.57,71.47 ± 2.85,57.48 ± 4.78,67.23 ± 6.04,59.75 ± 3.36
30,64.86 ± 1.67,71.99 ± 2.73,58.66 ± 5.72,67.64 ± 6.54,60.27 ± 3.54
40,65.61 ± 1.67,73.20 ± 2.75,59.44 ± 4.44,67.96 ± 6.63,60.94 ± 3.07
50,65.95 ± 1.53,73.93 ± 2.46,59.94 ± 3.24,67.95 ± 6.09,61.18 ± 3.02
60,66.01 ± 1.46,74.16 ± 2.85,60.14 ± 3.83,67.94 ± 6.11,61.07 ± 3.34
70,66.15 ± 1.27,74.75 ± 2.87,60.23 ± 3.14,68.30 ± 6.26,60.49 ± 3.95
80,66.42 ± 1.33,74.86 ± 2.70,61.22 ± 2.39,68.12 ± 6.10,60.72 ± 3.93
90,66.35 ± 1.44,74.72 ± 2.91,61.38 ± 2.69,68.33 ± 6.19,60.34 ± 3.93
100,66.42 ± 1.52,74.65 ± 3.06,61.46 ± 2.63,68.51 ± 6.29,60.33 ± 3.79
110,66.42 ± 1.57,74.63 ± 3.45,61.48 ± 2.49,68.36 ± 5.99,60.46 ± 3.68
120,67.09 ± 1.46,75.81 ± 3.01,62.33 ± 2.25,68.33 ± 6.09,61.11 ± 3.74
130,66.96 ± 1.03,75.79 ± 2.83,62.31 ± 2.50,68.33 ± 6.09,60.59 ± 3.53
140,66.76 ± 1.06,75.61 ± 2.72,62.50 ± 2.58,68.23 ± 6.52,59.76 ± 4.12
150,66.82 ± 1.08,75.62 ± 2.48,62.59 ± 2.49,68.20 ± 6.64,59.92 ± 4.25
160,66.62 ± 1.01,75.47 ± 2.28,62.12 ± 2.66,68.14 ± 6.57,59.82 ± 4.23
170,66.83 ± 1.32,75.56 ± 1.96,62.70 ± 3.06,68.23 ± 6.64,59.89 ± 4.12
180,66.62 ± 1.50,75.26 ± 2.04,62.70 ± 3.06,68.07 ± 6.52,59.55 ± 3.98
190,66.62 ± 1.20,75.31 ± 2.11,62.70 ± 3.27,68.07 ± 6.52,59.41 ± 3.98
200,66.82 ± 1.06,75.83 ± 2.12,62.54 ± 3.31,68.25 ± 6.42,59.67 ± 4.20
210,66.82 ± 1.06,75.94 ± 2.15,62.44 ± 3.16,68.25 ± 6.42,59.67 ± 4.20
220,66.82 ± 1.06,75.83 ± 2.34,62.52 ± 3.09,68.25 ± 6.42,59.67 ± 4.20
230,66.96 ± 1.12,76.10 ± 1.99,62.52 ± 3.01,68.25 ± 6.25,59.91 ± 4.16
240,67.03 ± 0.99,76.00 ± 1.92,62.60 ± 2.96,68.25 ± 6.25,60.14 ± 4.06
