minute,acc,f1_class0,f1_class1,f1_class2,f1_class3
250,66.89 ± 1.11,76.00 ± 1.92,62.30 ± 3.12,68.10 ± 5.96,60.07 ± 4.16
260,67.03 ± 1.18,76.15 ± 2.04,62.60 ± 2.95,68.10 ± 5.96,60.17 ± 4.50
270,67.09 ± 1.26,76.26 ± 2.09,62.60 ± 2.95,68.26 ± 6.09,60.17 ± 4.50
280,67.09 ± 1.36,76.37 ± 2.17,62.50 ± 3.24,68.26 ± 6.09,60.16 ± 4.44
290,67.09 ± 1.36,76.46 ± 2.25,62.42 ± 3.23,68.26 ± 6.09,60.16 ± 4.44
300,67.23 ± 1.34,76.46 ± 2.25,62.50 ± 3.16,68.41 ± 6.23,60.43 ± 4.44
310,67.23 ± 1.34,76.37 ± 2.17,62.42 ± 3.14,68.52 ± 6.27,60.51 ± 4.47
320,67.30 ± 1.34,76.37 ± 2.17,62.60 ± 3.17,68.52 ± 6.27,60.59 ± 4.37
330,67.23 ± 1.35,76.17 ± 2.29,62.69 ± 3.20,68.70 ± 6.36,60.19 ± 4.64
340,67.23 ± 1.23,76.17 ± 2.29,62.77 ± 3.23,68.70 ± 6.36,60.04 ± 4.98
350,67.36 ± 1.36,76.26 ± 2.37,63.16 ± 3.26,68.79 ± 6.42,60.04 ± 4.98
360,67.36 ± 1.46,76.07 ± 2.38,63.33 ± 3.20,68.56 ± 6.85,60.23 ± 4.99
370,67.30 ± 1.47,75.98 ± 2.35,63.33 ± 3.20,68.37 ± 6.76,60.23 ± 4.99
380,67.23 ± 1.44,75.83 ± 2.20,63.25 ± 3.31,68.37 ± 6.76,60.23 ± 4.99
390,67.23 ± 1.42,76.02 ± 1.90,63.25 ± 3.35,68.18 ± 6.84,60.23 ± 4.99
400,67.23 ± 1.42,76.00 ± 1.84,63.25 ± 3.35,68.17 ± 6.88,60.23 ± 4.99
410,67.23 ± 1.42,76.00 ± 1.84,63.25 ± 3.35,68.17 ± 6.88,60.23 ± 4.99
420,67.30 ± 1.44,76.00 ± 1.84,63.25 ± 3.35,68.32 ± 7.02,60.31 ± 5.01
430,67.43 ± 1.43,76.00 ± 1.84,63.43 ± 3.53,68.72 ± 6.76,60.31 ± 5.01
440,67.50 ± 1.32,76.00 ± 1.84,63.43 ± 3.53,68.95 ± 6.38,60.39 ± 5.05
450,67.50 ± 1.32,76.00 ± 1.84,63.43 ± 3.53,68.95 ± 6.38,60.39 ± 5.05
460,67.50 ± 1.32,76.00 ± 1.84,63.43 ± 3.53,68.95 ± 6.38,60.39 ± 5.05
470,67.50 ± 1.32,76.00 ± 1.84,63.43 ± 3.53,68.95 ± 6.38,60.39 ± 5.05
480,67.50 ± 1.32,76.00 ± 1.84,63.43 ± 3.53,68.95 ± 6.38,60.39 ± 5.05
