minute,Acc,F1_class0,F1_class1,F1_class2,F1_class3
0,24.53 ± 1.50,0.00 ± 0.00,30.89 ± 13.42,13.88 ± 14.37,0.00 ± 0.00
10,43.45 ± 1.80,63.82 ± 7.21,37.17 ± 3.49,34.52 ± 7.03,34.28 ± 4.57
20,45.47 ± 1.08,64.25 ± 6.77,37.88 ± 2.71,35.75 ± 7.12,37.97 ± 4.76
30,46.08 ± 1.49,65.45 ± 6.45,38.18 ± 1.93,36.46 ± 6.78,38.48 ± 4.08
40,46.42 ± 2.02,65.31 ± 6.82,38.58 ± 3.04,36.67 ± 6.45,39.18 ± 5.02
50,47.03 ± 2.58,66.04 ± 5.34,39.33 ± 4.14,36.29 ± 6.66,40.08 ± 5.15
60,47.50 ± 2.56,66.25 ± 5.39,39.51 ± 3.97,36.52 ± 6.53,41.25 ± 5.39
70,47.77 ± 2.66,66.29 ± 5.04,40.33 ± 4.21,36.24 ± 6.95,41.45 ± 5.89
80,48.45 ± 2.60,66.37 ± 5.18,40.77 ± 4.19,37.25 ± 6.41,42.38 ± 6.45
90,48.45 ± 2.44,66.01 ± 5.28,41.11 ± 4.33,37.10 ± 6.50,42.46 ± 6.07
100,48.92 ± 2.43,66.57 ± 5.23,41.44 ± 4.11,37.10 ± 7.01,43.48 ± 6.25
110,48.45 ± 2.39,66.05 ± 5.58,40.89 ± 4.34,36.37 ± 6.19,43.34 ± 6.22
120,48.85 ± 2.56,66.29 ± 5.53,41.14 ± 3.80,36.66 ± 6.21,43.82 ± 6.35
130,49.12 ± 2.74,66.88 ± 5.90,41.65 ± 4.30,36.76 ± 6.74,43.55 ± 6.27
140,48.78 ± 2.54,66.76 ± 6.14,41.11 ± 3.80,36.85 ± 6.67,42.96 ± 6.22
150,48.85 ± 2.48,67.15 ± 5.96,41.47 ± 3.66,36.74 ± 6.55,42.73 ± 6.74
160,48.92 ± 2.57,67.20 ± 6.04,41.79 ± 3.40,36.76 ± 6.45,42.74 ± 6.71
170,48.92 ± 2.44,67.19 ± 6.44,41.21 ± 3.19,36.74 ± 6.13,43.27 ± 6.93
180,48.92 ± 2.47,67.19 ± 6.44,41.32 ± 2.86,36.70 ± 6.19,43.24 ± 7.06
190,48.99 ± 2.47,66.90 ± 6.72,41.48 ± 2.60,36.69 ± 6.18,43.36 ± 6.80
200,49.05 ± 2.33,66.94 ± 5.97,41.64 ± 3.23,36.64 ± 6.10,43.41 ± 6.46
210,48.99 ± 2.35,67.02 ± 5.81,41.40 ± 3.29,36.45 ± 6.25,43.45 ± 6.46
220,49.19 ± 2.25,67.10 ± 5.67,41.69 ± 3.06,36.87 ± 6.36,43.47 ± 6.54
230,49.12 ± 2.27,67.18 ± 5.74,41.83 ± 2.84,36.56 ± 6.62,43.25 ± 6.71
240,49.39 ± 2.21,67.32 ± 5.88,41.99 ± 2.67,37.24 ± 6.24,43.43 ± 6.60
250,49.39 ± 2.32,67.16 ± 6.17,41.92 ± 2.87,37.27 ± 6.20,43.44 ± 6.59
260,49.46 ± 2.09,67.42 ± 5.83,41.96 ± 3.09,37.21 ± 6.14,43.49 ± 6.30
270,49.46 ± 2.19,67.34 ± 5.99,41.88 ± 3.22,37.22 ± 6.23,43.60 ± 6.45
280,49.53 ± 2.16,67.43 ± 5.99,41.89 ± 3.22,37.45 ± 6.01,43.60 ± 6.45
290,49.53 ± 2.23,67.35 ± 5.99,41.74 ± 3.10,37.62 ± 6.00,43.60 ± 6.45
300,49.53 ± 2.22,67.61 ± 6.21,41.54 ± 3.15,37.55 ± 5.88,43.69 ± 6.68
310,49.39 ± 2.32,67.62 ± 6.14,41.20 ± 3.45,37.31 ± 6.05,43.96 ± 6.94
320,49.39 ± 2.32,67.62 ± 6.14,41.24 ± 3.32,37.25 ± 5.98,44.04 ± 7.01
330,49.32 ± 2.42,67.44 ± 6.49,41.20 ± 3.33,37.30 ± 5.94,43.89 ± 7.12
340,49.46 ± 2.34,67.64 ± 6.51,41.27 ± 3.33,37.46 ± 6.13,43.95 ± 7.15
350,49.53 ± 2.17,67.71 ± 6.39,41.26 ± 3.48,37.53 ± 6.33,43.99 ± 7.10
360,49.46 ± 2.28,67.81 ± 6.46,41.07 ± 3.58,37.59 ± 6.48,43.74 ± 6.94
370,49.46 ± 2.28,67.70 ± 6.39,41.11 ± 3.56,37.64 ± 6.53,43.66 ± 6.89
380,49.46 ± 2.28,67.61 ± 6.38,41.11 ± 3.56,37.67 ± 6.51,43.66 ± 6.89
390,49.73 ± 2.52,68.04 ± 6.63,41.54 ± 3.84,37.64 ± 6.53,44.07 ± 7.21
400,49.86 ± 2.54,68.04 ± 6.63,41.70 ± 3.97,37.79 ± 6.41,44.17 ± 7.28
410,49.80 ± 2.63,67.97 ± 6.75,41.74 ± 3.95,37.57 ± 6.34,44.12 ± 7.17
420,49.80 ± 2.63,67.97 ± 6.75,41.74 ± 3.95,37.57 ± 6.34,44.12 ± 7.17
430,49.86 ± 2.66,67.97 ± 7.04,41.74 ± 3.95,37.63 ± 6.41,44.20 ± 7.22
440,49.93 ± 2.61,67.97 ± 7.04,41.79 ± 3.98,37.63 ± 6.41,44.41 ± 7.05
450,50.14 ± 2.43,68.23 ± 6.56,41.98 ± 3.88,37.85 ± 6.49,44.50 ± 6.90
460,50.14 ± 2.43,68.23 ± 6.56,41.84 ± 3.67,37.88 ± 6.47,44.55 ± 6.93
470,50.07 ± 2.43,67.95 ± 6.37,41.62 ± 3.78,37.84 ± 6.49,44.70 ± 7.10
480,50.00 ± 2.44,68.07 ± 6.41,41.37 ± 3.88,37.86 ± 6.47,44.65 ± 7.07
