minute,acc,f1_class0,f1_class1,f1_class2,f1_class3
0,53.31 ± 4.15,36.75 ± 12.35,49.79 ± 5.99,61.85 ± 5.46,55.92 ± 2.22
10,64.26 ± 2.36,70.60 ± 2.59,58.22 ± 5.67,68.33 ± 2.91,59.53 ± 2.33
20,64.73 ± 2.86,72.08 ± 3.07,58.20 ± 5.30,68.12 ± 3.79,59.98 ± 3.06
30,66.28 ± 2.89,74.94 ± 2.50,59.32 ± 5.78,69.33 ± 3.17,61.14 ± 3.94
40,67.30 ± 2.78,75.89 ± 2.53,60.42 ± 5.95,70.52 ± 3.22,61.82 ± 4.01
50,67.64 ± 2.59,76.67 ± 1.98,60.04 ± 6.05,71.06 ± 2.81,62.10 ± 3.87
60,68.04 ± 3.15,77.50 ± 2.76,60.43 ± 6.03,71.01 ± 3.51,62.69 ± 4.44
70,68.31 ± 2.83,77.42 ± 2.84,61.16 ± 6.38,71.36 ± 3.07,62.68 ± 4.02
80,68.51 ± 2.59,77.95 ± 2.81,61.50 ± 6.20,71.04 ± 2.71,63.05 ± 4.43
90,68.51 ± 2.65,77.78 ± 2.35,61.33 ± 6.26,70.94 ± 2.77,63.50 ± 4.60
100,68.51 ± 2.24,77.47 ± 2.14,61.42 ± 5.34,70.89 ± 2.65,63.82 ± 4.37
110,68.65 ± 2.54,77.77 ± 1.81,61.75 ± 5.51,70.81 ± 2.69,63.84 ± 4.86
120,69.05 ± 2.48,78.71 ± 1.90,62.29 ± 5.02,70.94 ± 2.71,63.89 ± 4.56
130,69.12 ± 2.48,79.20 ± 2.00,62.34 ± 5.26,70.84 ± 2.84,63.61 ± 4.33
140,68.85 ± 2.47,78.77 ± 2.02,62.34 ± 5.21,70.94 ± 2.71,62.76 ± 4.48
150,69.19 ± 2.26,78.77 ± 2.02,63.29 ± 4.48,71.12 ± 2.68,63.10 ± 4.34
160,69.46 ± 2.29,79.30 ± 1.63,63.38 ± 4.52,71.13 ± 2.64,63.55 ± 4.30
170,69.53 ± 1.98,79.45 ± 1.67,63.64 ± 3.67,71.00 ± 2.81,63.55 ± 4.15
180,69.46 ± 1.83,79.16 ± 1.94,64.03 ± 3.17,71.13 ± 2.69,63.10 ± 4.04
190,69.26 ± 1.70,79.04 ± 2.01,63.75 ± 3.08,70.87 ± 2.43,62.92 ± 3.98
200,69.39 ± 1.62,79.19 ± 2.09,64.11 ± 2.87,70.97 ± 2.56,62.80 ± 3.69
210,69.39 ± 1.65,79.18 ± 2.25,63.92 ± 3.11,70.92 ± 2.45,63.10 ± 3.65
220,69.26 ± 1.42,79.18 ± 2.25,63.76 ± 2.89,70.74 ± 2.21,62.90 ± 3.55
