minute,acc,f1_class0,f1_class1,f1_class2,f1_class3
230,69.19 ± 1.31,79.29 ± 2.34,63.58 ± 3.05,70.54 ± 2.67,62.90 ± 3.55
240,69.32 ± 1.38,79.45 ± 2.49,63.75 ± 3.15,70.46 ± 2.65,63.18 ± 3.51
250,69.26 ± 1.40,79.45 ± 2.49,63.75 ± 3.15,70.38 ± 2.64,63.00 ± 3.49
260,69.53 ± 1.27,79.78 ± 2.52,64.05 ± 2.93,70.47 ± 2.75,63.34 ± 3.39
270,69.66 ± 1.24,80.15 ± 2.67,63.96 ± 3.02,70.48 ± 2.97,63.60 ± 3.33
280,69.73 ± 1.36,80.15 ± 2.67,64.11 ± 3.22,70.48 ± 2.97,63.69 ± 3.38
290,69.93 ± 1.25,80.09 ± 2.58,64.57 ± 3.07,70.75 ± 3.08,63.75 ± 3.55
300,69.86 ± 1.14,79.88 ± 2.49,64.67 ± 3.07,70.75 ± 3.08,63.54 ± 3.38
310,69.86 ± 1.14,79.88 ± 2.49,64.47 ± 3.32,70.74 ± 2.84,63.73 ± 3.57
320,69.86 ± 1.14,80.03 ± 2.55,64.47 ± 3.32,70.74 ± 2.84,63.54 ± 3.38
330,69.93 ± 1.27,80.09 ± 2.51,64.55 ± 3.43,70.93 ± 3.02,63.45 ± 3.31
340,70.07 ± 1.18,80.09 ± 2.51,64.92 ± 3.44,70.93 ± 3.02,63.63 ± 3.39
350,70.20 ± 1.12,80.30 ± 2.70,65.41 ± 2.67,70.93 ± 3.25,63.52 ± 3.22
360,70.20 ± 1.12,80.30 ± 2.70,65.41 ± 2.67,70.93 ± 3.25,63.52 ± 3.22
370,70.13 ± 0.99,80.19 ± 2.68,65.41 ± 2.67,70.93 ± 3.25,63.32 ± 3.17
380,70.13 ± 0.99,80.19 ± 2.68,65.41 ± 2.67,70.93 ± 3.25,63.32 ± 3.17
390,70.20 ± 0.92,80.35 ± 2.44,65.50 ± 2.76,70.93 ± 3.25,63.32 ± 3.17
400,70.20 ± 0.92,80.35 ± 2.44,65.50 ± 2.76,70.93 ± 3.25,63.32 ± 3.17
410,70.20 ± 0.92,80.24 ± 2.39,65.59 ± 2.70,70.93 ± 3.25,63.32 ± 3.17
420,70.27 ± 0.91,80.24 ± 2.39,65.58 ± 2.59,71.00 ± 3.25,63.49 ± 3.09
430,70.27 ± 0.91,80.24 ± 2.39,65.58 ± 2.59,71.00 ± 3.25,63.49 ± 3.09
440,70.34 ± 0.84,80.24 ± 2.39,65.58 ± 2.59,71.20 ± 3.06,63.57 ± 3.10
450,70.40 ± 0.79,80.44 ± 2.30,65.58 ± 2.59,71.20 ± 3.06,63.66 ± 3.08
460,70.54 ± 0.89,80.70 ± 2.19,65.66 ± 2.69,71.41 ± 2.92,63.66 ± 3.08
470,70.61 ± 0.88,80.81 ± 2.36,65.66 ± 2.69,71.41 ± 2.92,63.85 ± 2.70
480,70.61 ± 0.88,80.81 ± 2.36,65.66 ± 2.69,71.41 ± 2.92,63.85 ± 2.70
