minute,acc,f1_class0,f1_class1,f1_class2,f1_class3
10,63.99 ± 4.34,72.77 ± 7.42,58.74 ± 4.45,67.09 ± 5.01,55.77 ± 6.81
20,65.47 ± 3.88,73.83 ± 7.39,60.78 ± 1.77,69.46 ± 4.79,56.44 ± 7.06
30,66.82 ± 4.25,74.35 ± 6.66,62.91 ± 1.71,69.76 ± 5.73,58.91 ± 7.34
40,67.23 ± 2.56,76.15 ± 5.76,62.14 ± 4.68,70.57 ± 2.35,58.74 ± 5.83
50,67.16 ± 3.49,75.93 ± 6.26,60.82 ± 3.71,70.71 ± 4.14,59.71 ± 6.94
60,67.36 ± 4.26,76.84 ± 6.98,62.02 ± 4.87,70.89 ± 4.97,57.83 ± 8.84
70,67.23 ± 3.28,75.61 ± 5.27,61.73 ± 3.65,70.09 ± 3.87,59.98 ± 7.80
80,67.84 ± 3.11,76.45 ± 5.76,62.67 ± 5.65,71.48 ± 4.43,59.27 ± 6.33
90,69.26 ± 3.37,77.61 ± 5.87,63.69 ± 3.46,71.94 ± 4.23,62.24 ± 7.32
100,69.39 ± 4.26,78.58 ± 5.40,63.39 ± 4.44,72.70 ± 5.65,60.88 ± 8.58
110,68.04 ± 3.22,76.84 ± 4.89,62.44 ± 4.36,71.39 ± 5.16,59.62 ± 6.77
120,68.58 ± 3.43,77.45 ± 5.18,63.06 ± 4.39,71.43 ± 4.80,60.41 ± 7.40
130,68.99 ± 2.86,78.10 ± 5.49,62.83 ± 4.26,73.00 ± 3.88,60.39 ± 5.74
140,69.19 ± 2.99,78.26 ± 5.45,63.27 ± 3.72,72.65 ± 4.08,61.14 ± 5.43
150,69.26 ± 3.07,78.05 ± 5.38,62.98 ± 4.88,72.95 ± 4.04,61.14 ± 6.96
160,68.58 ± 2.72,77.17 ± 5.33,63.64 ± 5.77,71.59 ± 2.86,60.16 ± 6.61
170,69.19 ± 3.24,77.69 ± 5.36,63.58 ± 4.82,73.04 ± 4.52,60.42 ± 8.16
180,69.46 ± 3.15,78.15 ± 5.86,64.20 ± 3.79,71.94 ± 4.08,61.77 ± 6.95
190,69.39 ± 2.99,78.48 ± 5.94,64.04 ± 4.36,72.26 ± 4.24,60.87 ± 6.87
200,69.66 ± 2.59,78.09 ± 4.97,64.63 ± 3.45,72.64 ± 3.53,61.18 ± 6.45
210,68.38 ± 2.47,77.46 ± 5.80,63.95 ± 3.05,70.42 ± 2.97,60.08 ± 5.77
220,69.39 ± 2.09,78.07 ± 5.17,63.89 ± 3.40,72.55 ± 2.51,61.02 ± 6.22
230,69.66 ± 2.72,78.22 ± 5.82,64.71 ± 2.13,72.18 ± 3.85,61.66 ± 6.84
240,69.12 ± 3.05,78.00 ± 5.51,63.76 ± 3.24,71.86 ± 4.22,61.30 ± 6.24
250,69.32 ± 2.77,77.97 ± 5.55,63.85 ± 3.86,72.35 ± 3.33,61.19 ± 6.84
260,68.72 ± 3.52,77.56 ± 6.36,63.25 ± 2.69,72.18 ± 4.15,60.04 ± 6.40
270,68.99 ± 2.73,77.97 ± 5.85,64.13 ± 2.82,72.64 ± 2.71,59.38 ± 6.70
280,69.05 ± 3.04,77.95 ± 5.87,63.81 ± 3.08,72.33 ± 3.24,60.24 ± 6.68
290,69.12 ± 3.04,77.69 ± 5.59,64.33 ± 3.16,72.02 ± 4.02,59.94 ± 8.38
300,69.19 ± 3.10,78.25 ± 5.99,63.60 ± 2.69,72.71 ± 3.99,60.20 ± 7.10
310,70.07 ± 2.82,78.57 ± 6.54,64.61 ± 3.32,73.84 ± 2.90,61.38 ± 7.30
320,69.39 ± 3.50,78.04 ± 7.05,63.87 ± 2.10,72.53 ± 2.74,61.26 ± 8.19
330,69.39 ± 2.81,77.47 ± 5.81,64.92 ± 3.29,72.24 ± 3.86,61.18 ± 6.34
340,69.59 ± 3.33,78.43 ± 6.02,63.70 ± 2.27,74.08 ± 4.36,60.27 ± 6.39
350,69.19 ± 3.80,77.97 ± 6.98,64.14 ± 2.14,72.40 ± 3.78,60.35 ± 7.28
360,70.00 ± 2.60,78.43 ± 6.07,65.09 ± 2.37,73.12 ± 2.80,61.49 ± 7.29
370,69.46 ± 2.97,78.30 ± 6.42,64.31 ± 1.79,72.96 ± 3.41,60.48 ± 6.80
380,69.05 ± 3.49,77.39 ± 5.78,64.46 ± 2.66,72.34 ± 4.15,60.04 ± 7.39
390,69.32 ± 2.54,78.56 ± 6.05,64.06 ± 3.44,72.21 ± 3.89,60.52 ± 6.29
400,69.26 ± 2.86,78.71 ± 6.33,63.05 ± 3.59,72.87 ± 3.53,60.51 ± 5.93
410,70.14 ± 2.84,79.00 ± 6.48,65.36 ± 2.93,72.99 ± 3.44,61.71 ± 6.28
420,69.59 ± 3.69,77.83 ± 5.64,65.11 ± 2.52,72.51 ± 3.97,60.88 ± 8.86
430,69.26 ± 3.40,77.57 ± 5.45,64.38 ± 2.77,72.55 ± 4.94,60.28 ± 8.20
440,69.32 ± 3.25,78.68 ± 6.32,63.97 ± 3.39,72.56 ± 3.86,59.84 ± 7.88
450,69.80 ± 3.43,78.41 ± 6.47,64.83 ± 2.09,73.09 ± 3.36,61.16 ± 6.89
460,69.66 ± 2.94,77.81 ± 6.02,64.69 ± 2.70,72.74 ± 3.53,61.57 ± 7.08
470,69.73 ± 3.35,78.16 ± 6.21,65.44 ± 2.46,73.27 ± 4.05,60.17 ± 7.25
480,69.19 ± 2.82,77.21 ± 6.08,64.17 ± 2.86,72.65 ± 3.83,60.67 ± 7.54
