minute,acc,f1_class0,f1_class1,f1_class2,f1_class3
0,59.63 ± 2.18,33.46 ± 7.24,57.86 ± 6.84,77.60 ± 2.54,58.24 ± 3.02
10,66.38 ± 2.89,58.75 ± 5.33,61.89 ± 5.70,80.46 ± 3.58,61.73 ± 4.49
20,68.22 ± 2.64,61.09 ± 3.76,65.58 ± 5.88,79.78 ± 2.35,63.79 ± 5.93
30,67.85 ± 2.50,61.90 ± 4.30,64.53 ± 7.34,79.78 ± 2.35,62.57 ± 4.77
40,68.22 ± 2.31,63.28 ± 2.77,64.71 ± 7.23,79.58 ± 2.65,62.95 ± 5.00
50,68.59 ± 1.84,64.62 ± 1.28,65.12 ± 7.79,79.21 ± 2.68,63.22 ± 4.98
60,68.83 ± 1.57,64.95 ± 1.99,65.28 ± 7.55,79.57 ± 2.86,63.36 ± 4.84
70,68.59 ± 1.84,64.78 ± 2.02,64.86 ± 7.55,79.57 ± 2.86,63.01 ± 5.22
80,68.47 ± 1.76,64.60 ± 2.14,64.69 ± 7.33,79.39 ± 2.88,63.01 ± 5.22
90,68.46 ± 2.00,65.02 ± 2.65,64.44 ± 6.90,79.39 ± 2.85,62.99 ± 5.15
100,68.46 ± 2.00,64.99 ± 2.33,64.43 ± 7.05,79.58 ± 2.52,62.84 ± 5.25
110,68.59 ± 1.96,65.51 ± 2.93,64.43 ± 7.05,79.68 ± 2.67,62.84 ± 5.25
120,68.71 ± 1.98,66.08 ± 2.88,64.48 ± 6.96,79.86 ± 3.20,62.69 ± 4.99
130,68.59 ± 1.62,66.00 ± 2.43,64.46 ± 6.51,79.49 ± 3.27,62.49 ± 5.07
140,68.71 ± 1.78,66.54 ± 2.75,64.27 ± 6.75,79.69 ± 3.44,62.49 ± 5.07
150,68.83 ± 2.17,66.74 ± 3.56,64.36 ± 6.90,79.87 ± 3.37,62.49 ± 5.07
160,68.59 ± 2.17,66.19 ± 3.72,64.36 ± 6.90,79.40 ± 2.92,62.49 ± 5.07
170,68.71 ± 2.20,66.57 ± 3.34,64.21 ± 7.15,79.58 ± 3.15,62.65 ± 5.33
180,68.84 ± 2.00,66.76 ± 2.76,64.80 ± 7.44,79.25 ± 3.71,62.57 ± 4.98
190,68.71 ± 2.20,66.89 ± 2.95,64.17 ± 7.58,79.25 ± 3.71,62.57 ± 4.98
200,68.84 ± 2.37,67.47 ± 3.62,64.17 ± 7.58,79.25 ± 3.71,62.57 ± 4.98
210,69.08 ± 2.47,68.21 ± 3.37,64.05 ± 7.77,79.76 ± 3.15,62.57 ± 4.98
220,69.08 ± 2.47,67.84 ± 3.42,64.05 ± 7.77,79.76 ± 3.15,62.91 ± 4.85
230,69.08 ± 2.47,67.84 ± 3.42,64.05 ± 7.77,79.76 ± 3.15,62.91 ± 4.85
240,69.08 ± 2.47,68.00 ± 3.64,63.64 ± 7.35,79.94 ± 3.13,63.09 ± 4.90
250,68.83 ± 2.40,67.82 ± 3.85,63.33 ± 7.00,79.94 ± 3.13,62.66 ± 4.46
260,68.96 ± 2.59,68.19 ± 3.81,63.67 ± 7.79,79.69 ± 2.84,62.81 ± 4.41
270,68.83 ± 2.50,67.82 ± 3.85,63.49 ± 7.58,79.69 ± 2.84,62.81 ± 4.41
280,69.08 ± 2.28,68.17 ± 3.64,63.91 ± 6.93,80.06 ± 2.70,62.81 ± 4.41
290,69.45 ± 2.53,68.74 ± 3.86,64.50 ± 7.18,80.32 ± 3.05,62.81 ± 4.41
300,69.33 ± 2.46,68.74 ± 3.86,64.32 ± 6.98,80.32 ± 3.05,62.46 ± 4.55
310,69.20 ± 2.28,68.53 ± 3.57,64.07 ± 6.71,80.32 ± 3.05,62.46 ± 4.55
320,69.08 ± 2.28,68.53 ± 3.57,63.91 ± 6.93,80.06 ± 2.70,62.46 ± 4.55
330,69.08 ± 2.28,68.70 ± 3.71,63.49 ± 7.58,80.35 ± 2.91,62.31 ± 4.29
340,69.08 ± 2.28,68.50 ± 3.47,63.64 ± 7.72,80.35 ± 2.91,62.31 ± 4.29
350,69.20 ± 2.24,68.50 ± 3.47,63.79 ± 7.49,80.61 ± 3.21,62.31 ± 4.29
360,69.20 ± 2.24,68.50 ± 3.47,63.79 ± 7.49,80.61 ± 3.21,62.31 ± 4.29
370,69.45 ± 2.31,68.50 ± 3.47,64.24 ± 7.78,80.61 ± 3.21,62.82 ± 3.97
380,69.57 ± 2.28,68.87 ± 2.92,64.24 ± 7.78,80.79 ± 3.46,62.82 ± 3.97
390,69.57 ± 2.48,69.07 ± 3.17,64.35 ± 8.26,80.54 ± 3.12,62.82 ± 3.97
400,69.57 ± 2.48,69.07 ± 3.17,64.35 ± 8.26,80.54 ± 3.12,62.82 ± 3.97
410,69.57 ± 2.48,69.07 ± 3.17,64.35 ± 8.26,80.54 ± 3.12,62.82 ± 3.97
420,69.70 ± 2.28,69.07 ± 3.17,64.49 ± 8.24,80.86 ± 2.61,62.82 ± 3.97
430,69.70 ± 2.28,69.07 ± 3.17,64.49 ± 8.24,80.86 ± 2.61,62.82 ± 3.97
440,69.70 ± 2.28,69.07 ± 3.17,64.49 ± 8.24,80.86 ± 2.61,62.82 ± 3.97
450,69.70 ± 2.28,69.07 ± 3.17,64.49 ± 8.24,80.86 ± 2.61,62.82 ± 3.97
460,69.70 ± 2.28,69.07 ± 3.17,64.49 ± 8.24,80.86 ± 2.61,62.82 ± 3.97
470,69.70 ± 2.28,69.07 ± 3.17,64.49 ± 8.24,80.86 ± 2.61,62.82 ± 3.97
480,69.82 ± 2.37,69.07 ± 3.17,64.82 ± 8.60,80.86 ± 2.61,62.99 ± 3.79
