minute,acc,NR_F1,FR_F1,TR_F1,UR_F1
0,70.11 ± 3.95,58.29 ± 10.69,74.60 ± 4.11,79.28 ± 4.71,63.29 ± 5.34
10,70.58 ± 4.02,59.51 ± 9.96,74.37 ± 4.70,79.90 ± 4.31,63.35 ± 5.46
20,70.53 ± 3.80,59.48 ± 9.71,74.37 ± 4.70,79.74 ± 4.43,63.31 ± 5.26
30,70.58 ± 3.81,59.70 ± 9.78,74.45 ± 4.72,79.82 ± 4.47,63.20 ± 5.14
40,70.72 ± 3.81,59.75 ± 9.73,75.56 ± 3.29,79.74 ± 4.43,63.20 ± 5.14
50,70.62 ± 3.89,59.67 ± 9.72,75.32 ± 3.41,79.74 ± 4.43,63.09 ± 5.22
60,70.57 ± 3.88,59.60 ± 9.77,75.32 ± 3.41,79.74 ± 4.43,62.99 ± 5.06
70,70.37 ± 3.85,59.41 ± 9.76,74.21 ± 4.74,79.74 ± 4.43,62.99 ± 5.06
80,70.37 ± 3.85,59.41 ± 9.76,74.21 ± 4.74,79.74 ± 4.43,62.99 ± 5.06
90,70.37 ± 3.85,59.41 ± 9.76,74.21 ± 4.74,79.74 ± 4.43,62.99 ± 5.06
100,70.37 ± 3.85,59.41 ± 9.76,74.21 ± 4.74,79.74 ± 4.43,62.99 ± 5.06
110,70.37 ± 3.85,59.41 ± 9.76,74.21 ± 4.74,79.74 ± 4.43,62.99 ± 5.06
120,70.37 ± 3.85,59.41 ± 9.76,74.21 ± 4.74,79.74 ± 4.43,62.99 ± 5.06
130,70.37 ± 3.85,59.41 ± 9.76,74.21 ± 4.74,79.74 ± 4.43,62.99 ± 5.06
140,70.37 ± 3.85,59.41 ± 9.76,74.21 ± 4.74,79.74 ± 4.43,62.99 ± 5.06
150,70.37 ± 3.97,59.49 ± 9.80,74.21 ± 4.74,79.63 ± 4.61,63.06 ± 5.07
160,70.37 ± 3.97,59.49 ± 9.80,74.21 ± 4.74,79.63 ± 4.61,63.06 ± 5.07
170,70.48 ± 4.05,59.56 ± 9.75,74.51 ± 4.95,79.63 ± 4.61,63.13 ± 5.07
180,70.48 ± 4.05,59.56 ± 9.75,74.51 ± 4.95,79.63 ± 4.61,63.13 ± 5.07
190,70.48 ± 4.05,59.56 ± 9.75,74.51 ± 4.95,79.63 ± 4.61,63.13 ± 5.07
200,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.63 ± 4.61,63.13 ± 5.07
210,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.63 ± 4.61,63.13 ± 5.07
220,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.63 ± 4.61,63.13 ± 5.07
230,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.63 ± 4.61,63.13 ± 5.07
240,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.63 ± 4.61,63.13 ± 5.07
250,70.67 ± 4.06,59.76 ± 9.75,75.55 ± 3.69,79.70 ± 4.49,63.13 ± 5.07
260,70.67 ± 4.06,59.76 ± 9.75,75.55 ± 3.69,79.70 ± 4.49,63.13 ± 5.07
270,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.63 ± 4.61,63.13 ± 5.07
280,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.63 ± 4.61,63.13 ± 5.07
290,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.63 ± 4.61,63.13 ± 5.07
300,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.63 ± 4.61,63.13 ± 5.07
310,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.63 ± 4.61,63.13 ± 5.07
320,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.63 ± 4.61,63.13 ± 5.07
330,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.63 ± 4.61,63.13 ± 5.07
