minute,acc,NR_F1,FR_F1,TR_F1,UR_F1
340,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.63 ± 4.61,63.13 ± 5.07
350,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.63 ± 4.61,63.13 ± 5.07
360,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.63 ± 4.61,63.13 ± 5.07
370,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.54 ± 4.55,63.19 ± 5.15
380,70.67 ± 4.06,59.76 ± 9.75,75.55 ± 3.69,79.62 ± 4.43,63.19 ± 5.15
390,70.67 ± 4.06,59.76 ± 9.75,75.55 ± 3.69,79.62 ± 4.43,63.19 ± 5.15
400,70.67 ± 4.06,59.76 ± 9.75,75.55 ± 3.69,79.62 ± 4.43,63.19 ± 5.15
410,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.54 ± 4.55,63.19 ± 5.15
420,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.54 ± 4.55,63.19 ± 5.15
430,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.54 ± 4.55,63.19 ± 5.15
440,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.54 ± 4.55,63.19 ± 5.15
450,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.54 ± 4.55,63.19 ± 5.15
460,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.54 ± 4.55,63.19 ± 5.15
470,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.54 ± 4.55,63.19 ± 5.15
480,70.67 ± 4.06,59.76 ± 9.75,75.62 ± 3.60,79.54 ± 4.55,63.19 ± 5.15
