minute,acc,f1_class0,f1_class1,f1_class2,f1_class3
10,63.45 ± 2.71,70.38 ± 5.24,58.24 ± 1.78,66.73 ± 5.55,58.22 ± 2.64
20,65.61 ± 3.36,72.63 ± 4.83,60.25 ± 4.85,68.38 ± 4.28,61.16 ± 2.23
30,66.49 ± 2.74,73.77 ± 4.34,62.37 ± 2.55,68.28 ± 4.43,61.79 ± 1.15
40,66.62 ± 2.42,75.31 ± 3.60,62.02 ± 3.23,67.66 ± 4.41,61.62 ± 1.03
50,67.30 ± 2.16,75.72 ± 4.62,62.33 ± 3.58,68.64 ± 3.83,62.57 ± 1.80
60,67.57 ± 2.65,76.06 ± 4.64,62.68 ± 2.67,69.30 ± 3.64,62.59 ± 1.89
70,67.43 ± 2.55,75.90 ± 4.99,62.93 ± 3.28,68.55 ± 4.10,62.54 ± 1.93
80,68.18 ± 2.62,76.82 ± 5.69,63.91 ± 3.12,68.85 ± 3.72,63.27 ± 1.43
90,68.58 ± 2.62,77.20 ± 5.32,64.26 ± 3.79,69.73 ± 4.27,63.37 ± 1.62
100,68.24 ± 2.11,76.61 ± 4.95,64.14 ± 3.28,69.84 ± 3.60,62.68 ± 1.65
110,68.18 ± 1.76,76.35 ± 4.87,64.12 ± 4.39,69.81 ± 3.70,62.55 ± 1.64
120,67.70 ± 1.80,76.69 ± 5.10,63.38 ± 4.72,69.27 ± 2.82,61.78 ± 1.49
130,67.91 ± 1.51,76.87 ± 4.75,63.44 ± 4.57,69.92 ± 2.79,61.78 ± 0.83
140,67.91 ± 1.53,76.88 ± 4.76,63.24 ± 4.08,69.68 ± 3.26,62.04 ± 1.04
150,68.24 ± 1.77,76.99 ± 5.05,63.47 ± 3.55,70.05 ± 3.45,62.71 ± 1.05
160,68.45 ± 1.80,77.33 ± 5.49,64.32 ± 4.49,69.88 ± 3.40,62.54 ± 1.36
170,68.45 ± 2.10,77.23 ± 5.58,64.41 ± 4.54,69.97 ± 3.43,62.51 ± 1.52
180,68.51 ± 2.13,77.29 ± 5.52,64.57 ± 4.46,69.72 ± 3.27,62.78 ± 1.81
190,68.72 ± 2.10,77.34 ± 5.58,65.05 ± 4.04,69.93 ± 3.39,62.86 ± 1.66
200,68.92 ± 2.04,77.60 ± 5.31,65.13 ± 3.83,70.03 ± 3.53,63.11 ± 1.65
210,68.85 ± 1.90,77.38 ± 5.23,65.13 ± 3.83,70.05 ± 3.26,62.98 ± 1.33
220,68.58 ± 1.83,77.22 ± 5.00,65.04 ± 4.02,69.85 ± 3.23,62.40 ± 1.52
230,68.45 ± 1.92,77.12 ± 4.93,64.72 ± 4.33,69.49 ± 3.21,62.66 ± 1.68
240,68.65 ± 1.98,77.54 ± 4.91,64.81 ± 4.16,69.55 ± 3.20,62.82 ± 1.62
250,68.72 ± 1.89,77.70 ± 4.87,64.82 ± 4.40,69.49 ± 3.21,62.96 ± 1.46
260,68.72 ± 2.02,77.59 ± 4.72,64.82 ± 4.35,69.49 ± 3.16,63.04 ± 1.21
270,68.72 ± 1.96,77.59 ± 4.72,64.90 ± 4.38,69.39 ± 3.30,63.04 ± 1.53
280,68.85 ± 2.13,77.80 ± 4.94,65.40 ± 3.50,69.25 ± 3.99,63.05 ± 1.60
290,68.72 ± 2.20,78.01 ± 5.01,65.12 ± 3.56,69.09 ± 3.92,62.83 ± 1.83
300,68.72 ± 1.99,77.86 ± 4.89,65.20 ± 3.62,68.99 ± 3.74,62.98 ± 1.98
310,68.99 ± 2.10,78.11 ± 5.10,65.37 ± 3.77,69.30 ± 3.35,63.32 ± 1.95
320,68.99 ± 1.96,78.15 ± 5.14,65.17 ± 3.67,69.49 ± 3.56,63.23 ± 1.82
330,69.05 ± 2.13,78.15 ± 5.14,65.53 ± 3.81,69.32 ± 3.52,63.33 ± 1.94
340,68.92 ± 1.97,78.05 ± 5.04,65.37 ± 3.80,69.11 ± 3.81,63.26 ± 2.07
350,68.99 ± 1.66,78.05 ± 5.04,65.64 ± 4.12,69.00 ± 3.66,63.29 ± 2.04
360,68.85 ± 1.86,77.94 ± 5.05,65.54 ± 3.95,68.59 ± 4.33,63.28 ± 2.14
370,68.85 ± 1.96,77.94 ± 5.05,65.37 ± 3.86,68.79 ± 4.44,63.27 ± 1.93
380,68.65 ± 1.87,77.74 ± 4.93,65.37 ± 3.86,68.75 ± 4.06,62.86 ± 2.18
390,68.58 ± 1.74,77.59 ± 4.82,65.37 ± 3.86,68.75 ± 4.06,62.78 ± 2.18
400,68.58 ± 1.74,77.59 ± 4.82,65.37 ± 3.86,68.75 ± 4.06,62.78 ± 2.18
410,68.58 ± 1.72,77.76 ± 4.82,65.29 ± 3.78,68.75 ± 4.06,62.69 ± 1.84
420,68.72 ± 1.80,77.76 ± 4.82,65.45 ± 3.93,68.91 ± 4.37,62.85 ± 1.95
430,68.51 ± 1.89,77.64 ± 4.67,64.97 ± 4.23,68.73 ± 4.33,62.79 ± 2.06
440,68.58 ± 2.03,77.74 ± 4.75,64.97 ± 4.23,68.73 ± 4.33,62.97 ± 2.13
450,68.65 ± 1.81,77.85 ± 4.24,65.16 ± 3.77,68.93 ± 4.48,62.79 ± 2.06
460,68.65 ± 1.75,77.79 ± 4.28,64.96 ± 4.30,68.74 ± 4.29,63.18 ± 2.07
470,68.58 ± 1.80,77.68 ± 4.15,64.96 ± 4.30,68.74 ± 4.29,63.00 ± 2.27
480,68.58 ± 1.80,77.68 ± 4.15,64.96 ± 4.30,68.74 ± 4.29,63.00 ± 2.27
