minute,acc,f1_class0,f1_class1,f1_class2,f1_class3
0,49.84 ± 4.32,16.33 ± 4.62,50.53 ± 5.78,61.86 ± 8.44,50.75 ± 4.62
10,61.58 ± 2.55,60.27 ± 7.87,57.12 ± 3.76,66.67 ± 7.06,58.49 ± 8.27
20,63.06 ± 3.55,64.32 ± 11.03,56.37 ± 4.59,69.78 ± 8.98,57.77 ± 5.67
30,64.05 ± 3.38,64.78 ± 9.39,55.60 ± 5.57,69.94 ± 8.93,61.59 ± 6.32
40,63.95 ± 4.22,65.60 ± 10.67,55.32 ± 6.94,69.35 ± 9.87,61.48 ± 5.73
50,63.54 ± 4.27,64.84 ± 11.20,54.92 ± 6.91,69.74 ± 12.34,60.47 ± 6.15
60,63.38 ± 4.26,66.45 ± 12.12,55.00 ± 6.05,68.06 ± 10.51,59.47 ± 5.25
70,63.23 ± 4.38,66.17 ± 11.92,54.17 ± 6.59,68.28 ± 10.11,59.55 ± 7.24
80,64.28 ± 3.89,66.56 ± 11.43,54.77 ± 6.73,70.13 ± 9.46,61.67 ± 7.50
90,64.84 ± 4.45,67.38 ± 11.26,55.73 ± 5.69,70.56 ± 9.73,61.77 ± 8.83
100,64.78 ± 5.29,68.22 ± 11.58,55.32 ± 4.56,70.48 ± 9.32,61.67 ± 9.72
110,64.94 ± 5.47,67.84 ± 11.56,56.12 ± 5.74,69.69 ± 8.71,62.97 ± 8.33
120,64.78 ± 5.78,68.55 ± 11.92,55.04 ± 7.29,70.48 ± 9.53,61.49 ± 7.78
130,64.63 ± 5.31,68.11 ± 11.88,55.15 ± 6.13,70.92 ± 10.07,60.40 ± 7.34
140,64.86 ± 5.71,68.11 ± 11.88,55.24 ± 6.67,70.66 ± 9.44,61.72 ± 7.62
150,64.31 ± 5.39,67.74 ± 11.64,54.10 ± 8.01,70.04 ± 8.84,61.63 ± 7.70
160,64.15 ± 5.30,67.60 ± 11.46,53.35 ± 8.77,69.71 ± 8.59,62.09 ± 8.22
170,64.38 ± 5.63,67.31 ± 11.21,53.30 ± 8.02,70.06 ± 8.53,62.94 ± 8.28
180,63.68 ± 5.61,67.01 ± 11.00,52.05 ± 8.65,69.97 ± 8.60,61.76 ± 7.71
190,63.91 ± 5.96,67.01 ± 11.00,52.05 ± 8.65,70.21 ± 8.77,62.42 ± 8.02
200,63.68 ± 5.91,66.67 ± 10.80,51.55 ± 9.56,70.21 ± 8.77,62.31 ± 8.17
210,63.60 ± 5.90,66.67 ± 10.80,51.55 ± 9.56,70.19 ± 8.47,62.02 ± 7.99
220,63.98 ± 6.28,67.50 ± 11.80,51.73 ± 9.15,70.32 ± 8.64,62.76 ± 7.65
230,63.98 ± 6.28,67.50 ± 11.80,51.73 ± 9.15,70.32 ± 8.64,62.76 ± 7.65
240,63.98 ± 6.28,67.50 ± 11.80,51.73 ± 9.15,70.32 ± 8.64,62.76 ± 7.65
250,63.50 ± 6.41,66.76 ± 11.81,51.06 ± 8.92,70.15 ± 8.28,62.56 ± 7.05
260,63.73 ± 6.45,66.65 ± 11.76,51.54 ± 8.68,70.15 ± 8.28,63.04 ± 7.15
270,63.81 ± 6.30,66.47 ± 11.47,51.90 ± 8.49,70.15 ± 8.28,63.04 ± 7.15
280,63.81 ± 6.30,66.47 ± 11.47,51.90 ± 8.49,70.15 ± 8.28,63.04 ± 7.15
290,64.04 ± 5.89,66.66 ± 11.10,52.42 ± 8.79,70.25 ± 8.26,63.04 ± 7.15
300,64.04 ± 5.34,67.10 ± 11.15,51.95 ± 8.13,70.47 ± 8.32,63.06 ± 6.96
310,63.90 ± 5.31,67.11 ± 11.16,52.01 ± 8.09,70.47 ± 8.32,62.28 ± 6.95
320,63.90 ± 5.30,67.20 ± 11.18,52.01 ± 8.09,70.28 ± 8.19,62.36 ± 7.10
330,63.73 ± 5.42,67.09 ± 11.35,51.93 ± 8.06,70.32 ± 8.41,61.94 ± 7.28
340,63.73 ± 5.42,67.09 ± 11.35,51.93 ± 8.06,70.32 ± 8.41,61.94 ± 7.28
350,63.81 ± 5.43,67.22 ± 11.36,51.93 ± 8.06,70.86 ± 8.46,61.61 ± 7.49
360,63.58 ± 5.46,66.84 ± 11.36,51.84 ± 7.99,70.86 ± 8.46,61.43 ± 7.60
370,63.50 ± 5.45,66.84 ± 11.36,51.75 ± 8.17,70.86 ± 8.46,61.23 ± 7.26
380,63.73 ± 5.86,66.84 ± 11.36,51.75 ± 8.17,71.24 ± 8.80,61.56 ± 7.51
390,64.44 ± 5.95,67.66 ± 11.57,52.20 ± 7.46,71.36 ± 8.89,62.72 ± 8.19
400,64.53 ± 5.97,67.66 ± 11.57,52.55 ± 6.93,71.36 ± 8.89,62.81 ± 8.35
410,64.53 ± 5.97,67.66 ± 11.57,52.55 ± 6.93,71.36 ± 8.89,62.81 ± 8.35
420,64.76 ± 5.67,68.68 ± 9.38,52.31 ± 7.61,71.61 ± 8.36,63.02 ± 8.49
430,64.93 ± 5.39,69.15 ± 8.57,52.40 ± 7.67,71.61 ± 8.36,63.13 ± 8.33
440,64.61 ± 5.50,69.03 ± 8.56,52.40 ± 7.67,70.64 ± 8.58,62.84 ± 8.57
450,64.69 ± 5.45,69.03 ± 8.56,52.40 ± 7.67,70.74 ± 8.52,63.05 ± 8.39
460,64.69 ± 5.45,69.03 ± 8.56,52.83 ± 7.28,70.74 ± 8.52,62.84 ± 8.57
470,64.78 ± 5.60,69.22 ± 8.91,52.83 ± 7.28,70.74 ± 8.52,62.94 ± 8.65
480,64.78 ± 5.60,69.22 ± 8.91,52.83 ± 7.28,70.74 ± 8.52,62.94 ± 8.65
